inclusion	directory	name	phenotype	sex	file	suffix	bgzip	gzip	type	fill_observations	observations	fill_case_control	cases	controls	prevalence_sample	prevalence_population	script	note
1	36635386_chen_2023	36635386_chen_2023_cortisol	cortisol	all	GCST90200378_buildGRCh38.tsv.gz	.tsv.gz	0	0	linear	1	8193	0	NA	NA	NA	NA	translate_gwas_36635386_chen_2023.sh	.
1	36635386_chen_2023	36635386_chen_2023_thyroxine_total	thyroxine_total_t4	all	GCST90200293_buildGRCh38.tsv.gz	.tsv.gz	0	0	linear	1	8262	0	NA	NA	NA	NA	translate_gwas_36635386_chen_2023.sh	.
1	36376304_koskeridis_2022	36376304_koskeridis_2022_c_reactive_protein	c_reactive_protein	all	GCST90179146_buildGRCh37.tsv	.tsv	0	1	linear	1	575531	0	NA	NA	NA	NA	translate_gwas_36376304_koskeridis_2022.sh	.
1	36093044_mathieu_2022	36093044_mathieu_2022_hypothyroidism	hypothyroidism	all	GCST90204167_buildGRCh37.tsv.gz	.tsv.gz	0	0	logistic	1	494577	1	51194	443383	0.104	0.117	translate_gwas_36093044_mathieu_2022.sh	.
1	35459240_said_2022	35459240_said_2022_c_reactive_protein	c_reactive_protein	all	GCST90029070_buildGRCh37.tsv.gz	.tsv.gz	0	0	linear	1	575531	0	NA	NA	NA	NA	translate_gwas_35459240_said_2022.sh	.
1	35078996_gudjonsson_2022	35078996_gudjonsson_2022_complement_c3	complement_c3	all	GCST90088709_buildGRCh37.tsv	.tsv	0	1	linear	1	5366	0	NA	NA	NA	NA	translate_gwas_35078996_gudjonsson_2022.sh	.
1	35078996_gudjonsson_2022	35078996_gudjonsson_2022_complement_c4	complement_c4	all	GCST90088710_buildGRCh37.tsv	.tsv	0	1	linear	1	5353	0	NA	NA	NA	NA	translate_gwas_35078996_gudjonsson_2022.sh	.
1	34822396_pott_2021	34822396_pott_2021_progesterone_all	progesterone	all	SummaryStatistics_Progesterone_combined_211103.txt	.txt	0	1	linear	0	NA	0	NA	NA	NA	NA	translate_gwas_34822396_pott_2021.sh	.
1	34822396_pott_2021	34822396_pott_2021_progesterone_female	progesterone	female	SummaryStatistics_Progesterone_females_211103.txt	.txt	0	1	linear	0	NA	0	NA	NA	NA	NA	translate_gwas_34822396_pott_2021.sh	.
1	34822396_pott_2021	34822396_pott_2021_progesterone_male	progesterone	male	SummaryStatistics_Progesterone_males_211103.txt	.txt	0	1	linear	0	NA	0	NA	NA	NA	NA	translate_gwas_34822396_pott_2021.sh	.
1	34822396_pott_2021	34822396_pott_2021_hydroxyprogesterone_all	hydroxyprogesterone	all	SummaryStatistics_17-OH-Progesterone_combined_211103.txt	.txt	0	1	linear	0	NA	0	NA	NA	NA	NA	translate_gwas_34822396_pott_2021.sh	.
1	34822396_pott_2021	34822396_pott_2021_hydroxyprogesterone_female	hydroxyprogesterone	female	SummaryStatistics_17-OH-Progesterone_females_211103.txt	.txt	0	1	linear	0	NA	0	NA	NA	NA	NA	translate_gwas_34822396_pott_2021.sh	.
1	34822396_pott_2021	34822396_pott_2021_hydroxyprogesterone_male	hydroxyprogesterone	male	SummaryStatistics_17-OH-Progesterone_males_211103.txt	.txt	0	1	linear	0	NA	0	NA	NA	NA	NA	translate_gwas_34822396_pott_2021.sh	.
1	34822396_pott_2021	34822396_pott_2021_aldosterone_all	aldosterone	all	SummaryStatistics_Aldosterone_combined_211103.txt	.txt	0	1	linear	0	NA	0	NA	NA	NA	NA	translate_gwas_34822396_pott_2021.sh	.
1	34822396_pott_2021	34822396_pott_2021_aldosterone_female	aldosterone	female	SummaryStatistics_Aldosterone_females_211103.txt	.txt	0	1	linear	0	NA	0	NA	NA	NA	NA	translate_gwas_34822396_pott_2021.sh	.
1	34822396_pott_2021	34822396_pott_2021_aldosterone_male	aldosterone	male	SummaryStatistics_Aldosterone_males_211103.txt	.txt	0	1	linear	0	NA	0	NA	NA	NA	NA	translate_gwas_34822396_pott_2021.sh	.
1	34822396_pott_2021	34822396_pott_2021_androstenedione_all	androstenedione	all	SummaryStatistics_Androstenedione_combined_211103.txt	.txt	0	1	linear	0	NA	0	NA	NA	NA	NA	translate_gwas_34822396_pott_2021.sh	.
